,SKU_NAME,FEED_DATE,CATEGORY,SUB_CATEGORY,ORDERED_REVENUE,ORDERED_UNITS,REP_OOS
121,B1212:PZ:V,2019-08-18,1000 Inputs,1006 Gamepads and Controllers,1919.4,60.0,12.53
122,B1212:PZ:V,2019-08-19,1000 Inputs,1006 Gamepads and Controllers,1951.39,61.0,12.54
123,B1212:PZ:V,2019-08-20,1000 Inputs,1006 Gamepads and Controllers,3199.0,100.0,14.83
124,B1212:PZ:V,2019-08-21,1000 Inputs,1006 Gamepads and Controllers,1535.52,48.0,12.39
125,B1212:PZ:V,2019-08-22,1000 Inputs,1006 Gamepads and Controllers,1791.44,56.0,15.47
126,B1212:PZ:V,2019-08-23,1000 Inputs,1006 Gamepads and Controllers,1433.95,54.0,11.91
127,B1212:PZ:V,2019-08-24,1000 Inputs,1006 Gamepads and Controllers,1976.0,76.0,13.32
128,B1212:PZ:V,2019-08-25,1000 Inputs,1006 Gamepads and Controllers,2496.0,96.0,10.15
129,B1212:PZ:V,2019-08-26,1000 Inputs,1006 Gamepads and Controllers,2340.0,90.0,12.31
130,B1212:PZ:V,2019-08-27,1000 Inputs,1006 Gamepads and Controllers,1586.0,61.0,15.13
131,B1212:PZ:V,2019-08-28,1000 Inputs,1006 Gamepads and Controllers,1794.0,69.0,15.7
132,B1212:PZ:V,2019-08-29,1000 Inputs,1006 Gamepads and Controllers,2288.0,88.0,16.86
133,B1212:PZ:V,2019-08-30,1000 Inputs,1006 Gamepads and Controllers,1924.0,74.0,24.24
134,B1212:PZ:V,2019-08-31,1000 Inputs,1006 Gamepads and Controllers,1872.0,72.0,16.34
135,D1000D20S:,2019-06-29,1000 Inputs,1003 Computer Speakers,0.0,0.0,0.0
136,B111S;CCLC,2019-05-01,1000 Inputs,1003 Computer Speakers,4305.69,431.0,3.02
137,B111S;CCLC,2019-05-02,1000 Inputs,1003 Computer Speakers,4245.75,425.0,2.86
138,B111S;CCLC,2019-05-03,1000 Inputs,1003 Computer Speakers,3526.47,353.0,3.61
139,B111S;CCLC,2019-05-04,1000 Inputs,1003 Computer Speakers,1828.17,183.0,3.71
140,B111S;CCLC,2019-05-05,1000 Inputs,1003 Computer Speakers,2077.92,208.0,3.03
141,B111S;CCLC,2019-05-06,1000 Inputs,1003 Computer Speakers,4605.39,461.0,2.12
142,B111S;CCLC,2019-05-07,1000 Inputs,1003 Computer Speakers,5204.79,521.0,2.96
143,B111S;CCLC,2019-05-08,1000 Inputs,1003 Computer Speakers,4915.08,492.0,2.65
144,B111S;CCLC,2019-05-09,1000 Inputs,1003 Computer Speakers,5134.86,514.0,2.58
145,B111S;CCLC,2019-05-10,1000 Inputs,1003 Computer Speakers,4315.68,432.0,3.76
146,B111S;CCLC,2019-05-11,1000 Inputs,1003 Computer Speakers,2167.83,217.0,2.76
147,B111S;CCLC,2019-05-12,1000 Inputs,1003 Computer Speakers,2027.97,203.0,3.18
148,B111S;CCLC,2019-05-13,1000 Inputs,1003 Computer Speakers,5214.78,522.0,2.28
149,B111S;CCLC,2019-05-14,1000 Inputs,1003 Computer Speakers,5124.87,513.0,2.25
150,B111S;CCLC,2019-05-15,1000 Inputs,1003 Computer Speakers,5494.5,550.0,3.3
151,B111S;CCLC,2019-05-16,1000 Inputs,1003 Computer Speakers,5354.64,536.0,3.05
152,B111S;CCLC,2019-05-17,1000 Inputs,1003 Computer Speakers,4605.39,461.0,2.92
153,B111S;CCLC,2019-05-18,1000 Inputs,1003 Computer Speakers,2167.83,217.0,3.65
154,B111S;CCLC,2019-05-19,1000 Inputs,1003 Computer Speakers,2537.46,254.0,4.33
155,B111S;CCLC,2019-05-20,1000 Inputs,1003 Computer Speakers,4781.7,530.0,3.19
156,B111S;CCLC,2019-05-21,1000 Inputs,1003 Computer Speakers,5347.05,595.0,2.81
